#Total_Population,Sewer_Length
8473,3
19311,47
19955,5
413418,551
20230,10
233047,37
8378,2
18338,27
21331,5
6954,3
57537,62
57294,25
52262,180
22178,10
12807,12
15627,18
25613,27
7006,3
1025360,403
33032,23
52380,45
3494,4
9441,5
73337,5
7560,3
17848,15
35212,18
25183,28
11248,3
75394,25
6649,12
47819,58
10687,10
61797,110
44372,53
65790,70
21477,14
28508,20
16937,3
2219580,579
65040,32
37193,20
9187,4
512902,96
22053,3
27906,5
123096,9
5488,8
20347,27
152327,134
37441,3
19479,40
54648,2248
8837,23
20449,26
13240,3
20392,112
31209,1
156975,299
23437,37
12329,15
18531,4
69662,342
10129,32
14222,22
10130,11
67335,18
18911,3
33567,73
9058,4
18427,8
32006,43
304302,204
35382,6
71487,3
9703,15
30906,83
87458,176
34882,2
16753,33
30862,6
22093,19
29070,50
72545,220
26318,1
9316,16
11200,8
32576,37
22762,1
67013,7
33398,3
26035,30
15717,20
32191,15
5351,24
63591,152
34886,16
82432,93
16446,29
41901,28
60858,47
114396,28
17845,9
619609,690
10575,23
32596,42
11259,11
15234,14
84928,293
12987,5
19786,25
16230,100
23404,80
16403,2
27003,57
15650,37
26963,5
159923,154
40333,49
45922,44
59435,10
9911,24
73524,25
30747,2
64646,24
213685,359
28684,26
12242,16
14452,10
6596,14
20398,66
64455,30
22754,3
19316,87
22337,92
76795,145
35883,75
10298,195
19843,105
36116,3
20388,65
19030,7
28740,1
11016,26
80635,3
54673,89
33746,19
156126,462
40651,49
14557,25
218162,444
3693,10
24032,8
3975,2
3758,1
201635,154
11499,14
90162,248
50161,164
21432,72
18602,7
44793,35
47126,103
22716,30
25894,19
18474,17
49278,25
35440,67
8889,30
42251,60
26970,37
11417,6
29410,79
22282,29
14079,29
16472,3
43783,3
15443,18
17511,23
9071,34
118516,149
7394,2
16984,8
20098,12
10394,22
150658,345
12179,4
41170,77
33468,1
12932,19
9442,25
30857,8
2886698,4089
14063,7
27922,34
10606,24
37531,220
39775,31
28481,20
10464,7
60131,72
102380,55
53269,3
14762,32
40245,47
37942,6
44430,3
79424,264
40989,20
14699,40
81286,19
13446,2
135783,105
9701,10
23233,74
20393,25
21253,34
16974,14
162438,249
22555,27
15022,6
50798,29
19877,19
18544,10
16665,20
20413,24
97233,114
9210,5
12625,52
43716,264
341128,950
15036,16
63104,23
54481,24
11781,6
7650,6
7378,5
80935,38
74975,57
11802,3
24610,11
61228,46
22573,20
22758,8
15044,19
35941,2
53949,19
32722,31
54577,86
49842,12
63907,102
27470,14
77244,28
72232,6
20871,15
365212,313
25585,4
23239,11
75159,201
133031,108
18133,6
7225,15
54337,36
24452,18
2686612,2724
14134,7
14407,7
54962,2
4814,3
26290,11
40784,16
5132,2
68529,13
12629,9
68162,49
103074,31
26187,15
14326,25
38325,3
53067,95
130539,61
42215,17
18147,1
11492,40
34636,31
27181,31
8130,9
20087,23
276264,185
24892,34
31492,34
59890,72
229458,235
130346,75
39044,25
48168,12
27462,9
35480,4
61738,4
14549,9
10941,4
32408,50
28673,23
25833,8
73188,3
84554,42
12288,6
6549,28
13439,5
35304,25
32992,26
12252,5
9143,25
37900,6
12347,13
14958,5
88321,84
16147,10
29146,2
78882,56
15788,1
16635,4
43711,4
48131,28
48869,69
13044,16
210711,580
30807,7
8573,1
59062,19
76537,70
56291,7
13915,9
40903,16
61410,15
3055149,7458
30455,72
10909,45
29975,61
14636,21
7874,30
29779,48
7554,2
103101,353
12105,49
31132,226
44979,32
15092,50
9962,30
12427,14
210589,551
383917,403
37747,65
123400,243
31273,13
4270,8
33986,27
22835,17
21948,37
12880,24
31122,64
126701,194
12591,65
8859,25
13973,23
13526,6
14023,42
34656,58
10494,22
31039,115
12265,60
16722,57
10933,7
176688,363
15503,22
38883,97
16920,18
12963,20
26115,50
18894,39
5496,16
17319,15
15526,37
50434,78
23306,24
26381,55
22053,51
7940,17
19271,22
41015,30
23724,36
8687,8
38522,62
10546,26
132642,138
12510,6
527240,1123
30680,57
21591,6
25745,47
79500,96
9244,5
14073,21
501325,412
365855,480
8958,19
20461,45
22546,35
217698,430
6605,32
8705,66
391772,731
21981,20
590146,937
2474,14
3486,10
7783,17
10110,18
30492,99
25648,111
5797,18
9484,8
12666,47
8031,24
16270,60
19107,70
93196,91
20007,52
110983,378
22306,122
10486,91
72890,53
9869,60
60210,80
12467,72
123684,405
71075,161
1536097,4392
45296,100
22381,62
34202,103
14207,55
53259,106
31499,47
43622,108
4475,50
25681,109
8960,32
105809,266
51338,62
102065,577
7402,56
18371,105
1621,12
211508,101
9363,31
2583,18
28793,52
68154,436
8047,28
13672,35
46548,200
46730,70
117703,102
34430,37
29392,145
10140,6
10980,58
24548,61
31686,38
90640,234
17860,71
45633,168
37414,56
50701,132
4612,5
241518,458
19947,97
7632,41
38808,251
75829,63
1345,11
34157,192
21920,19
118451,28
20816,46
8186,34
129823,336
40840,116
13818,3
172135,109
104790,14
63217,23
165525,59
123116,35
65544,6
42527,7
8484,2
11387,4
259337,137
68723,11
23482,12
21080,10
123747,151
39191,50
24092,4
7070,5
11261,5
179028,134
1108975,952
4684,2
8582,15
170222,7
59398,3
7006,45
23250,80
13444,36
3994,9
9368,28
13523,18
1992,9
4522,13
19247,7
13599,39
25141,89
5976,30
3011,25
35401,68
80494,353
6981,98
42143,125
7436,9
19958,33
14517,50
5894,21
8301,25
10859,22
3844,13
15169,44
3605,8
4678,3
41396,128
12206,115
8557,18
11459,2
9275,12
1587,8
2059,20
36712,75
117825,498
8453,10
6931,76
2835,28
9401,54
107337,542
10883,32
40380,310
2704,9
5269,9
17862,170
14270,32
12678,18
4851,2
19199,88
7803,34
23898,1530
4766,9
5778,27
32866,212
138204,304
20897,127
10262,29
2521564,4476
26994,65
7719,18
11872,25
4607,7
444784,1072
3329,220
40219,160
5089,15
50256,134
51028,207
6459,36
4244,19
6133,20
14862,36
10537,21
17607,179
