,Served Population (inhabitants),Percent Served
208,1200,0.141626342
234,11112,0.575423334
312,1516,0.075970935
390,88008,0.212878975
572,5000,0.247157687
624,4303,0.018464087
702,1413,0.168656004
728,7406,0.403860835
884,2199,0.1030894
910,5839,0.839660627
934,13900,0.241583677
1168,13942,0.243341362
1220,4200,0.080364318
1298,3559,0.160474344
1350,8331,0.650503631
1402,10938,0.699942407
1428,5000,0.195213368
1532,1045,0.149157865
1760,441254,0.430340563
1812,10491,0.317601114
1864,27180,0.518900344
1916,1400,0.400686892
2150,4500,0.476644423
2280,3353,0.045720441
2410,1655,0.218915344
2462,6000,0.33617212
2488,3181,0.090338521
2540,8412,0.334034865
2670,1386,0.123221906
2696,24500,0.324959546
2722,5851,0.879981952
2774,9059,0.189443527
2800,3783,0.353981473
2930,30165,0.488130492
3112,28000,0.631028577
3164,45286,0.688341693
3294,6000,0.279368627
3632,6000,0.210467237
3840,1018,0.060105095
4179,487158,0.219482064
4257,7360,0.113161132
4439,5000,0.134433899
4829,417,0.045390225
4985,55276,0.107771075
5011,326,0.014782569
5037,282,0.010105354
5141,1442,0.011714434
5167,1848,0.336734694
5269,6406,0.314837568
5399,53721,0.352668929
5477,856,0.022862637
5685,12000,0.616048052
5867,20927,0.382941736
5945,5666,0.641167817
6023,2194,0.10729131
6049,750,0.056646526
6101,10115,0.496027854
6127,336,0.010766125
6205,111154,0.708100016
6303,13279,0.566582754
6381,12329,1
6407,6807,0.367330419
6433,22083,0.317002096
6563,2184,0.215618521
6589,14222,1
6641,1900,0.187561698
6667,4538,0.067394371
6771,470,0.02485326
6797,15650,0.466231716
6849,547,0.060388607
6953,2274,0.123405872
7005,11152,0.348434668
7031,125450,0.412254931
7057,2257,0.063789497
7109,4787,0.066963224
7135,2122,0.218695249
7187,16203,0.524267133
7239,41099,0.469928423
7317,18000,0.516025457
7343,6450,0.385005671
7395,1337,0.043321885
7447,5510,0.249400263
7499,10310,0.354661163
7525,31000,0.427320973
7551,774,0.02940953
7629,1531,0.164340919
7681,2900,0.258928571
7707,26810,0.822998527
7811,315,0.013838854
7863,2236,0.03336666
7889,1542,0.046170429
7915,5979,0.229652391
8071,7086,0.450849399
8097,8048,0.250007766
8149,2763,0.516352084
8227,27441,0.431523329
8253,10919,0.312990885
8305,38067,0.461798816
8409,2671,0.162410313
8435,5458,0.130259421
8513,8307,0.136498077
8539,12438,0.108727578
8565,8000,0.448304847
8617,339302,0.547606636
8695,8700,0.822695035
8747,27025,0.829089459
8799,3379,0.300115463
8825,1565,0.102730734
8929,42966,0.505910889
8981,1780,0.137060137
9085,4559,0.230415445
9111,14184,0.873937153
9215,10302,0.440181166
9293,1217,0.074193745
9345,18034,0.66785172
9397,6095,0.389456869
9449,1803,0.066869414
9475,96932,0.606116694
9501,20000,0.495871867
9553,13295,0.289512652
9579,10490,0.176495331
9605,4141,0.417818585
9735,11022,0.149910233
9761,1050,0.034149673
9787,17229,0.266513009
9813,170050,0.795797552
9839,10905,0.380177102
9891,12242,1
9917,2719,0.18814005
9995,3386,0.513341419
10021,20398,1
10047,39917,0.619300287
10099,1356,0.059593918
10151,18000,0.931869952
10177,9508,0.425661459
10255,72499,0.944058858
10281,35883,1
10307,7670,0.744804816
10359,18377,0.926120042
10437,357,0.009884816
10463,19560,0.959387875
10489,6270,0.329479769
10515,1333,0.04638135
10541,4600,0.417574437
10619,6209,0.077001302
10645,15885,0.290545608
10671,9282,0.275054821
10749,125688,0.805042081
10775,25651,0.631005387
10801,3064,0.210482929
10879,188033,0.861896206
11009,2026,0.54860547
11061,3317,0.138024301
11087,687,0.172830189
11113,437,0.116285258
11217,87631,0.434602128
11243,4768,0.414644752
11321,56675,0.628590759
11393,13965,0.278403541
11445,15277,0.712812617
11523,800,0.043006128
11679,14269,0.318554238
11783,25226,0.535288376
11835,18000,0.792393027
11861,4063,0.156908936
11913,2579,0.139601602
11965,9268,0.188075815
12017,13783,0.388910835
12069,3524,0.396445044
12095,14806,0.350429576
12147,14996,0.556025213
12199,689,0.060348603
12225,10029,0.34100646
12251,7835,0.351629118
12303,9820,0.69749272
12355,8654,0.525376396
12511,2021,0.046159468
12563,6152,0.398368193
12667,3234,0.184683913
12719,4148,0.457281446
12849,39877,0.336469337
12901,561,0.075872329
12953,1653,0.097326896
13031,3120,0.155239327
13057,5255,0.505580142
13291,93601,0.621281313
13395,2050,0.168322522
13551,25176,0.611513238
13629,466,0.013923748
13759,2987,0.23097742
13863,7130,0.755136624
13889,1628,0.052759504
13941,2541619,0.880458919
13993,3793,0.269714855
14019,12471,0.44663706
14071,6817,0.642749387
14097,23065,0.614558632
14149,14709,0.369805154
14227,3650,0.128155613
14253,4000,0.382262997
14279,26130,0.43455123
14305,22158,0.21642899
14331,4467,0.083857403
14435,8820,0.597480016
14487,15408,0.382855013
14539,2502,0.065942755
14643,2334,0.052532073
14825,39968,0.503223207
14851,4723,0.115226036
14929,6500,0.442206953
14955,7441,0.091540979
14981,860,0.063959542
15007,63083,0.464586878
15059,3985,0.410782394
15085,20954,0.901906771
15163,4800,0.235374884
15241,7200,0.338775702
15267,7620,0.448921881
15293,88417,0.544312291
15345,4450,0.1972955
15371,5132,0.341632273
15449,9410,0.185243514
15501,5140,0.258590331
15631,1802,0.097174288
15657,4800,0.288028803
15683,2846,0.139420957
15735,70980,0.729999074
15813,2000,0.217155266
15839,6984,0.553188119
15891,10804,0.247140635
15943,282998,0.829594756
16099,1660,0.110401703
16125,3326,0.052706643
16151,3632,0.066665443
16203,1331,0.112978525
16229,596,0.077908497
16307,2760,0.374085118
16359,12488,0.154296658
16385,10335,0.137845949
16489,881,0.074648365
16567,1770,0.071921983
16645,5502,0.089860848
16671,1133,0.050192708
16697,1167,0.051278671
16723,1395,0.092727998
16749,612,0.017027907
16775,4036,0.074811396
16801,5371,0.164140334
16827,21542,0.394708394
16853,21307,0.427490871
16879,23157,0.362354672
16905,2329,0.0847834
16931,15809,0.204663145
17113,1778,0.024615129
17139,2351,0.112644339
17191,128871,0.35286628
17217,908,0.035489545
17321,2161,0.092990232
17347,23830,0.317061164
17373,35896,0.269831844
17399,1202,0.066287983
17477,4000,0.553633218
17503,6462,0.11892449
17555,6046,0.247259938
17581,1486845,0.553427514
17633,1033,0.073086175
17685,672,0.046643993
17711,1830,0.033295732
17737,485,0.100747819
17789,1980,0.075313808
17815,2333,0.057203805
17841,915,0.178293063
17893,5217,0.076128354
17971,10760,0.852007285
18023,18210,0.267157654
18049,16164,0.156819372
18075,2506,0.095696338
18205,9800,0.68407092
18283,469,0.012237443
18332,37306,0.702998097
18335,26186,0.200599055
18387,1643,0.038919815
18439,244,0.013445749
18465,4518,0.393143056
18491,15591,0.450138584
18543,9195,0.338287775
18569,4764,0.58597786
18595,2005,0.099815801
18621,64485,0.233418035
18647,8418,0.338180942
18673,14000,0.444557348
18699,15908,0.265620304
18751,72994,0.318114862
18777,11699,0.089753425
18855,5021,0.128598504
18881,2724,0.056552068
18933,3535,0.128723327
19011,380,0.010710259
19089,1400,0.022676472
19167,1292,0.088803354
19193,467,0.042683484
19245,8923,0.275333251
19271,4250,0.148223067
19297,739,0.028606821
19349,1673,0.022858939
19375,34055,0.402760366
19401,2844,0.231445313
19427,4063,0.620400061
19479,1121,0.083413944
19505,4114,0.116530705
19531,5847,0.177224782
19583,820,0.066927849
19635,5700,0.623427759
19661,26275,0.693271768
19791,1646,0.133311736
19817,818,0.054686455
19921,13416,0.151900454
19947,4585,0.283953676
20025,535,0.018355864
20077,13411,0.170013438
20103,204,0.012921206
20129,552,0.033183048
20207,43711,1
20233,7834,0.162764123
20259,6391,0.130778203
20311,825,0.06324747
20389,203376,0.965189288
20441,1952,0.063362223
20493,168,0.019596407
20519,3732,0.063187837
20571,15261,0.199393757
20597,1208,0.021459914
20753,1186,0.085231764
20805,18828,0.460308535
20831,17827,0.29029474
20857,2777130,0.908999856
20883,24432,0.802232802
20909,6335,0.580713173
20961,29975,1
20987,11480,0.784367313
21013,4580,0.581661163
21039,7624,0.256019342
21065,1500,0.198570294
21091,90297,0.875811098
21117,6400,0.528707146
21143,30600,0.982911474
21169,8545,0.189977545
21195,11438,0.757884972
21221,8068,0.809877535
21247,5863,0.471795284
21271,206293,0.979600074
21297,133200,0.346949992
21323,22811,0.604312926
21349,108049,0.875599676
21375,527,0.016851597
21427,1614,0.377985948
21453,6113,0.179868181
21505,2043,0.089467922
21531,2552,0.116274831
21557,4126,0.320341615
21577,26159,0.840530814
21603,72673,0.57357874
21655,9200,0.730680645
21681,5446,0.61474207
21707,9082,0.649967795
21733,3000,0.221795061
21759,9759,0.695928118
21785,3869,0.11164012
21811,4857,0.462835906
21863,19440,0.626308837
21889,9622,0.784508765
21915,14125,0.844695611
21941,1617,0.147900851
21967,131931,0.746689079
21993,5510,0.355415081
22019,17409,0.447727799
22043,4463,0.263770686
22069,7550,0.582426907
22095,12816,0.490752441
22121,1731,0.091616386
22147,2884,0.524745269
22173,1757,0.101449275
22199,15449,0.995040577
22225,10542,0.209025657
22251,7300,0.313224062
22277,12502,0.473901672
22329,10422,0.472588763
22355,3493,0.439924433
22405,6442,0.334284676
22483,7737,0.188638303
22509,8041,0.338939471
22535,2980,0.343041326
22561,15625,0.405612377
22587,9110,0.863834629
22613,72569,0.547104235
22639,4111,0.328617106
22663,374636,0.710560655
22689,17171,0.559680574
22713,3920,0.18155713
22739,13183,0.512060594
22765,28108,0.353559748
22791,3002,0.32475119
22817,2974,0.211326654
22841,271307,0.541179873
22867,295752,0.808385836
22893,3290,0.36726948
22917,13996,0.684033038
22943,8663,0.384236672
23047,92530,0.425038356
23123,2000,0.302800908
23175,5029,0.577713957
23277,302785,0.772860235
23329,8219,0.373913835
