,Total Population (inhabitants),Percent Served
208,8473,0.141626342
234,19311,0.575423334
312,19955,0.075970935
390,413418,0.212878975
572,20230,0.247157687
624,233047,0.018464087
702,8378,0.168656004
728,18338,0.403860835
884,21331,0.1030894
910,6954,0.839660627
934,57537,0.241583677
1168,57294,0.243341362
1220,52262,0.080364318
1298,22178,0.160474344
1350,12807,0.650503631
1402,15627,0.699942407
1428,25613,0.195213368
1532,7006,0.149157865
1760,1025360,0.430340563
1812,33032,0.317601114
1864,52380,0.518900344
1916,3494,0.400686892
2150,9441,0.476644423
2280,73337,0.045720441
2410,7560,0.218915344
2462,17848,0.33617212
2488,35212,0.090338521
2540,25183,0.334034865
2670,11248,0.123221906
2696,75394,0.324959546
2722,6649,0.879981952
2774,47819,0.189443527
2800,10687,0.353981473
2930,61797,0.488130492
3112,44372,0.631028577
3164,65790,0.688341693
3294,21477,0.279368627
3632,28508,0.210467237
3840,16937,0.060105095
4179,2219580,0.219482064
4257,65040,0.113161132
4439,37193,0.134433899
4829,9187,0.045390225
4985,512902,0.107771075
5011,22053,0.014782569
5037,27906,0.010105354
5141,123096,0.011714434
5167,5488,0.336734694
5269,20347,0.314837568
5399,152327,0.352668929
5477,37441,0.022862637
5685,19479,0.616048052
5867,54648,0.382941736
5945,8837,0.641167817
6023,20449,0.10729131
6049,13240,0.056646526
6101,20392,0.496027854
6127,31209,0.010766125
6205,156975,0.708100016
6303,23437,0.566582754
6381,12329,1
6407,18531,0.367330419
6433,69662,0.317002096
6563,10129,0.215618521
6589,14222,1
6641,10130,0.187561698
6667,67335,0.067394371
6771,18911,0.02485326
6797,33567,0.466231716
6849,9058,0.060388607
6953,18427,0.123405872
7005,32006,0.348434668
7031,304302,0.412254931
7057,35382,0.063789497
7109,71487,0.066963224
7135,9703,0.218695249
7187,30906,0.524267133
7239,87458,0.469928423
7317,34882,0.516025457
7343,16753,0.385005671
7395,30862,0.043321885
7447,22093,0.249400263
7499,29070,0.354661163
7525,72545,0.427320973
7551,26318,0.02940953
7629,9316,0.164340919
7681,11200,0.258928571
7707,32576,0.822998527
7811,22762,0.013838854
7863,67013,0.03336666
7889,33398,0.046170429
7915,26035,0.229652391
8071,15717,0.450849399
8097,32191,0.250007766
8149,5351,0.516352084
8227,63591,0.431523329
8253,34886,0.312990885
8305,82432,0.461798816
8409,16446,0.162410313
8435,41901,0.130259421
8513,60858,0.136498077
8539,114396,0.108727578
8565,17845,0.448304847
8617,619609,0.547606636
8695,10575,0.822695035
8747,32596,0.829089459
8799,11259,0.300115463
8825,15234,0.102730734
8929,84928,0.505910889
8981,12987,0.137060137
9085,19786,0.230415445
9111,16230,0.873937153
9215,23404,0.440181166
9293,16403,0.074193745
9345,27003,0.66785172
9397,15650,0.389456869
9449,26963,0.066869414
9475,159923,0.606116694
9501,40333,0.495871867
9553,45922,0.289512652
9579,59435,0.176495331
9605,9911,0.417818585
9735,73524,0.149910233
9761,30747,0.034149673
9787,64646,0.266513009
9813,213685,0.795797552
9839,28684,0.380177102
9891,12242,1
9917,14452,0.18814005
9995,6596,0.513341419
10021,20398,1
10047,64455,0.619300287
10099,22754,0.059593918
10151,19316,0.931869952
10177,22337,0.425661459
10255,76795,0.944058858
10281,35883,1
10307,10298,0.744804816
10359,19843,0.926120042
10437,36116,0.009884816
10463,20388,0.959387875
10489,19030,0.329479769
10515,28740,0.04638135
10541,11016,0.417574437
10619,80635,0.077001302
10645,54673,0.290545608
10671,33746,0.275054821
10749,156126,0.805042081
10775,40651,0.631005387
10801,14557,0.210482929
10879,218162,0.861896206
11009,3693,0.54860547
11061,24032,0.138024301
11087,3975,0.172830189
11113,3758,0.116285258
11217,201635,0.434602128
11243,11499,0.414644752
11321,90162,0.628590759
11393,50161,0.278403541
11445,21432,0.712812617
11523,18602,0.043006128
11679,44793,0.318554238
11783,47126,0.535288376
11835,22716,0.792393027
11861,25894,0.156908936
11913,18474,0.139601602
11965,49278,0.188075815
12017,35440,0.388910835
12069,8889,0.396445044
12095,42251,0.350429576
12147,26970,0.556025213
12199,11417,0.060348603
12225,29410,0.34100646
12251,22282,0.351629118
12303,14079,0.69749272
12355,16472,0.525376396
12511,43783,0.046159468
12563,15443,0.398368193
12667,17511,0.184683913
12719,9071,0.457281446
12849,118516,0.336469337
12901,7394,0.075872329
12953,16984,0.097326896
13031,20098,0.155239327
13057,10394,0.505580142
13291,150658,0.621281313
13395,12179,0.168322522
13551,41170,0.611513238
13629,33468,0.013923748
13759,12932,0.23097742
13863,9442,0.755136624
13889,30857,0.052759504
13941,2886698,0.880458919
13993,14063,0.269714855
14019,27922,0.44663706
14071,10606,0.642749387
14097,37531,0.614558632
14149,39775,0.369805154
14227,28481,0.128155613
14253,10464,0.382262997
14279,60131,0.43455123
14305,102380,0.21642899
14331,53269,0.083857403
14435,14762,0.597480016
14487,40245,0.382855013
14539,37942,0.065942755
14643,44430,0.052532073
14825,79424,0.503223207
14851,40989,0.115226036
14929,14699,0.442206953
14955,81286,0.091540979
14981,13446,0.063959542
15007,135783,0.464586878
15059,9701,0.410782394
15085,23233,0.901906771
15163,20393,0.235374884
15241,21253,0.338775702
15267,16974,0.448921881
15293,162438,0.544312291
15345,22555,0.1972955
15371,15022,0.341632273
15449,50798,0.185243514
15501,19877,0.258590331
15631,18544,0.097174288
15657,16665,0.288028803
15683,20413,0.139420957
15735,97233,0.729999074
15813,9210,0.217155266
15839,12625,0.553188119
15891,43716,0.247140635
15943,341128,0.829594756
16099,15036,0.110401703
16125,63104,0.052706643
16151,54481,0.066665443
16203,11781,0.112978525
16229,7650,0.077908497
16307,7378,0.374085118
16359,80935,0.154296658
16385,74975,0.137845949
16489,11802,0.074648365
16567,24610,0.071921983
16645,61228,0.089860848
16671,22573,0.050192708
16697,22758,0.051278671
16723,15044,0.092727998
16749,35941,0.017027907
16775,53949,0.074811396
16801,32722,0.164140334
16827,54577,0.394708394
16853,49842,0.427490871
16879,63907,0.362354672
16905,27470,0.0847834
16931,77244,0.204663145
17113,72232,0.024615129
17139,20871,0.112644339
17191,365212,0.35286628
17217,25585,0.035489545
17321,23239,0.092990232
17347,75159,0.317061164
17373,133031,0.269831844
17399,18133,0.066287983
17477,7225,0.553633218
17503,54337,0.11892449
17555,24452,0.247259938
17581,2686612,0.553427514
17633,14134,0.073086175
17685,14407,0.046643993
17711,54962,0.033295732
17737,4814,0.100747819
17789,26290,0.075313808
17815,40784,0.057203805
17841,5132,0.178293063
17893,68529,0.076128354
17971,12629,0.852007285
18023,68162,0.267157654
18049,103074,0.156819372
18075,26187,0.095696338
18205,14326,0.68407092
18283,38325,0.012237443
18332,53067,0.702998097
18335,130539,0.200599055
18387,42215,0.038919815
18439,18147,0.013445749
18465,11492,0.393143056
18491,34636,0.450138584
18543,27181,0.338287775
18569,8130,0.58597786
18595,20087,0.099815801
18621,276264,0.233418035
18647,24892,0.338180942
18673,31492,0.444557348
18699,59890,0.265620304
18751,229458,0.318114862
18777,130346,0.089753425
18855,39044,0.128598504
18881,48168,0.056552068
18933,27462,0.128723327
19011,35480,0.010710259
19089,61738,0.022676472
19167,14549,0.088803354
19193,10941,0.042683484
19245,32408,0.275333251
19271,28673,0.148223067
19297,25833,0.028606821
19349,73188,0.022858939
19375,84554,0.402760366
19401,12288,0.231445313
19427,6549,0.620400061
19479,13439,0.083413944
19505,35304,0.116530705
19531,32992,0.177224782
19583,12252,0.066927849
19635,9143,0.623427759
19661,37900,0.693271768
19791,12347,0.133311736
19817,14958,0.054686455
19921,88321,0.151900454
19947,16147,0.283953676
20025,29146,0.018355864
20077,78882,0.170013438
20103,15788,0.012921206
20129,16635,0.033183048
