,Served Population (inhabitants),Percent Served
208,3516,0.414965184
234,12234,0.633524934
312,8668,0.434377349
390,219756,0.531558858
572,12895,0.637419674
624,222011,0.952644745
702,8377,0.99988064
884,19933,0.934461582
910,5839,0.839660627
934,50448,0.876792325
1168,56767,0.990801829
1220,51932,0.993685661
1350,6413,0.500741782
1402,6244,0.399564856
1532,3704,0.528689695
1760,918837,0.89611161
1812,15941,0.482592637
1864,52380,1
1916,1617,0.46279336
2150,5499,0.582459485
2410,5297,0.700661376
2462,10096,0.565665621
2488,33622,0.954844939
2540,18951,0.75253147
2670,6698,0.595483642
2696,62932,0.834708332
2722,5851,0.879981952
2800,5517,0.516234678
2930,59050,0.955548004
3112,39000,0.87893266
3164,51757,0.786700106
3294,14222,0.662196769
3632,28508,1
3840,12697,0.749660507
4179,2164164,0.975033114
4257,32164,0.494526445
4439,15698,0.422068669
4829,2197,0.239142266
4985,192637,0.37558247
5011,3415,0.154854215
5037,1922,0.068874077
5141,52663,0.427820563
5167,1890,0.344387755
5269,12133,0.596304123
5399,147141,0.965954821
5477,27173,0.725755188
5685,10042,0.515529545
5867,32886,0.601778656
5945,5441,0.615706688
6023,12304,0.601692014
6049,4530,0.342145015
6101,20392,1
6127,23418,0.750360473
6205,150264,0.957247969
6303,16814,0.717412638
6381,12314,0.998783356
6407,11328,0.611299984
6433,69662,1
6563,4685,0.46253332
6589,9913,0.697018703
6641,2940,0.290227048
6667,53915,0.800698003
6771,13198,0.697900693
6797,26423,0.787171925
6849,6942,0.766394348
6953,9682,0.525424649
7005,24762,0.773667437
7031,284212,0.933980059
7057,19659,0.555621502
7109,35760,0.500230811
7135,4849,0.499742348
7187,23729,0.767779719
7317,25324,0.725990482
7343,9262,0.552856205
7395,29960,0.970773119
7447,14965,0.677363871
7499,26626,0.915927073
7525,72545,1
7551,21754,0.826582567
7629,4607,0.494525547
7681,6142,0.548392857
7707,21718,0.666687132
7811,16216,0.712415429
7889,25962,0.777351937
7915,15265,0.586326099
8071,7945,0.505503595
8097,25128,0.780590848
8149,3632,0.678751635
8227,58088,0.913462597
8253,30024,0.860631772
8305,80792,0.980104814
8409,3961,0.240848839
8435,37579,0.896852104
8513,41550,0.682736863
8539,106625,0.932069303
8565,16076,0.900868591
8617,556413,0.898006646
8695,7265,0.686997636
8747,24548,0.75309854
8799,5657,0.50244249
8825,10041,0.659117763
8929,67579,0.795721081
8981,8177,0.62962963
9085,12549,0.634236329
9111,12289,0.757178065
9215,13772,0.588446419
9293,3627,0.221118088
9345,21449,0.79431915
9397,11141,0.711884984
9449,15291,0.567110485
9475,146767,0.91773541
9501,22097,0.547864032
9553,41654,0.907059797
9579,38103,0.641086902
9605,6577,0.663606094
9735,72364,0.984222839
9761,26142,0.850229291
9787,58362,0.902793676
9813,213411,0.998717739
9839,16056,0.559754567
9891,9516,0.777323967
9917,9095,0.629324661
9995,5270,0.798969072
10021,20398,1
10047,50790,0.787991622
10099,20786,0.913509713
10151,13524,0.700144958
10177,19751,0.884227963
10255,76795,1
10281,12758,0.355544408
10307,8211,0.797339289
10359,16359,0.82442171
10437,14243,0.394368147
10463,19560,0.959387875
10489,6844,0.359642669
10515,21585,0.751043841
10541,5332,0.484023239
10619,66887,0.829503317
10645,41625,0.761344722
10671,21266,0.630178392
10749,142105,0.91019433
10775,19178,0.471771912
10801,5753,0.395205056
10879,213757,0.979808583
11009,1844,0.499323044
11061,6309,0.262524967
11087,2650,0.666666667
11113,2338,0.622139436
11217,198092,0.982428646
11243,8910,0.774849987
11321,82159,0.91123755
11393,48000,0.956918722
11523,11109,0.59719385
11679,26236,0.585716518
11783,47123,0.999936341
11835,17949,0.790147913
11861,20860,0.805592029
11913,6092,0.329760745
11965,15621,0.316997443
12017,22432,0.632957111
12069,8889,1
12095,29076,0.688173061
12147,19825,0.73507601
12199,4337,0.379872121
12225,26094,0.887249235
12303,3466,0.246182257
12355,6753,0.409968431
12511,37605,0.858895005
12563,7698,0.498478275
12667,7948,0.453886129
12719,5639,0.621651417
12849,101629,0.85751291
12901,1839,0.248715174
12953,16984,1
13031,19706,0.980495572
13057,6843,0.658360593
13291,116499,0.773267931
13395,3715,0.305033254
13551,33499,0.813675006
13629,28084,0.839129915
13759,6167,0.47687906
13863,9000,0.953187884
13889,24743,0.801860194
13941,2852167,0.98803789
14019,22469,0.804705967
14071,9997,0.942579672
14097,26022,0.693346833
14149,34973,0.879270899
14227,17150,0.602155823
14253,7321,0.69963685
14279,50758,0.844123663
14305,87293,0.852637234
14331,31220,0.586081961
14435,9515,0.644560358
14539,28765,0.758130831
14643,35758,0.804816565
