,Total Population (inhabitants),Percent Served
208,8473,0.414965184
234,19311,0.633524934
312,19955,0.434377349
390,413418,0.531558858
572,20230,0.637419674
624,233047,0.952644745
702,8378,0.99988064
884,21331,0.934461582
910,6954,0.839660627
934,57537,0.876792325
1168,57294,0.990801829
1220,52262,0.993685661
1350,12807,0.500741782
1402,15627,0.399564856
1532,7006,0.528689695
1760,1025360,0.89611161
1812,33032,0.482592637
1864,52380,1
1916,3494,0.46279336
2150,9441,0.582459485
2410,7560,0.700661376
2462,17848,0.565665621
2488,35212,0.954844939
2540,25183,0.75253147
2670,11248,0.595483642
2696,75394,0.834708332
2722,6649,0.879981952
2800,10687,0.516234678
2930,61797,0.955548004
3112,44372,0.87893266
3164,65790,0.786700106
3294,21477,0.662196769
3632,28508,1
3840,16937,0.749660507
4179,2219580,0.975033114
4257,65040,0.494526445
4439,37193,0.422068669
4829,9187,0.239142266
4985,512902,0.37558247
5011,22053,0.154854215
5037,27906,0.068874077
5141,123096,0.427820563
5167,5488,0.344387755
5269,20347,0.596304123
5399,152327,0.965954821
5477,37441,0.725755188
5685,19479,0.515529545
5867,54648,0.601778656
5945,8837,0.615706688
6023,20449,0.601692014
6049,13240,0.342145015
6101,20392,1
6127,31209,0.750360473
6205,156975,0.957247969
6303,23437,0.717412638
6381,12329,0.998783356
6407,18531,0.611299984
6433,69662,1
6563,10129,0.46253332
6589,14222,0.697018703
6641,10130,0.290227048
6667,67335,0.800698003
6771,18911,0.697900693
6797,33567,0.787171925
6849,9058,0.766394348
6953,18427,0.525424649
7005,32006,0.773667437
7031,304302,0.933980059
7057,35382,0.555621502
7109,71487,0.500230811
7135,9703,0.499742348
7187,30906,0.767779719
7317,34882,0.725990482
7343,16753,0.552856205
7395,30862,0.970773119
7447,22093,0.677363871
7499,29070,0.915927073
7525,72545,1
7551,26318,0.826582567
7629,9316,0.494525547
7681,11200,0.548392857
7707,32576,0.666687132
7811,22762,0.712415429
7889,33398,0.777351937
7915,26035,0.586326099
8071,15717,0.505503595
8097,32191,0.780590848
8149,5351,0.678751635
8227,63591,0.913462597
8253,34886,0.860631772
