,Total Population,Served Percentage
8,2187477.0,0.2257120874870913
222,2246825.0,0.17200004450724912
1096,680000.0,0.9963235294117647
3173,320714.0,0.5667105271363271
3194,549380.0,0.03831591976409771
3215,625783.0,0.04646498866220399
3236,1439561.0,0.12327299780974894
3253,370550.0,0.22547024693023884
3274,773851.0,0.43460045926153745
3295,1231523.0,0.1972476356511409
3316,1387604.0,0.42144805002003455
3337,2122014.0,0.3068862882148751
3358,5931634.0,0.2976117541979158
3379,2084180.0,0.5294038902589987
3400,1255031.0,0.3047191662994779
3421,5249867.0,0.29721191032077576
3442,1068527.0,0.32900900024051805
3463,8652225.0,0.4906232789831517
3484,12086170.0,0.5407716422985942
3505,2382627.0,0.4338089847886388
3526,10992046.0,0.6903735664861664
3547,27543012.0,0.8542149275467766
3568,1322758.0,0.3909165546532321
3589,3807782.0,0.19387270594797706
3610,9224687.0,0.7457575525326767
3631,2914830.0,0.8450997142200403
3652,4901665.0,0.6042834424629182
3673,1333768.0,0.3213999736086036
3811,50808.0,0.14478034955125177
3847,17063.0,0.3892633182910391
3885,1439561.0,0.004723662283154378
4055,154495.0,0.21161202627916761
4081,13852.0,0.3979930695928386
4086,17122.0,0.35042635206167505
4109,102656.0,0.07443305798004987
4165,69526.0,0.6789402525673849
4211,21355.0,0.09515335986888317
4236,76998.0,0.13425024026598092
4329,161137.0,0.056126153521537575
4345,72878.0,0.34058289195642033
4356,120265.0,0.08007317174572819
4381,35208.0,0.2957282435810043
4415,68405.0,0.015203566990717053
4455,32809.0,0.365753299399555
4473,101386.0,0.1528810683920857
4486,34561.0,0.23879517375075954
4507,218324.0,0.6163866546966893
4520,58175.0,0.1706059303824667
4565,51132.0,0.2715325041070171
4585,61903.0,0.025846889488393133
4716,42275.0,0.2891780011827321
4741,38924.0,0.8002774637755626
4754,28822.0,0.11657761432239262
4782,98260.0,0.15043761449216364
4831,201756.0,0.8825214615674379
4873,66017.0,0.5831225290455488
4889,97305.0,0.7299933199732799
4917,48316.0,0.12931534067389686
4929,4370.0,0.4633867276887872
4948,229322.0,1.0
4966,192757.0,0.9709063743469757
4982,95056.0,0.6984093586938226
5000,116267.0,0.9973079205621543
5021,226508.0,0.9717714164621117
5034,50246.0,0.8782589658878319
5047,137187.0,0.45455473186234846
5059,5674.0,0.9016566795911174
5071,134924.0,0.3736696214165011
5085,96865.0,0.9672637175450369
5106,179915.0,0.890720618069644
5125,119243.0,0.9421517405633874
5145,366992.0,0.9714734926101931
5158,77627.0,0.9989436665077872
5177,118352.0,1.0
5188,40287.0,0.83577829076377
5202,49600.0,0.7641129032258065
5229,43739.0,0.9223118955623129
5240,54076.0,0.953935202307863
5251,11856.0,0.8687584345479082
5265,21735.0,0.9257418909592823
5284,119480.0,0.991973552058922
5301,9461.0,0.7427333262868618
5317,66807.0,0.9729519361743529
5333,18611.0,0.719198323572081
5344,68040.0,0.937389770723104
5355,44532.0,0.9090092517740052
5375,278363.0,0.9744362576922939
5391,30685.0,0.8014013361577318
5421,119073.0,0.9199986562864797
5440,1324781.0,0.8753144859414499
5458,231033.0,0.9494747503603381
5472,19464.0,0.6992396218660091
5490,117634.0,0.8948603294965741
5505,13172.0,0.8062556938961434
5521,91453.0,0.9601762654040873
5540,167095.0,0.9270474879559532
5557,103333.0,0.9564514724241046
5578,226539.0,0.8983839427206795
5593,51907.0,0.9218217196139249
5622,11876.0,0.7328224991579656
5635,78583.0,1.0
5649,17022.0,0.8499588767477382
5669,99388.0,0.9859540387169478
5688,163662.0,0.7399946230646087
5699,41368.0,1.0
5719,232006.0,0.9699404325750196
5729,81439.0,1.0
5766,147233.0,0.9208737171693846
5784,424633.0,0.9002432688933738
5803,91483.0,0.9263469715684881
5816,4188.0,0.7901146131805158
5834,107263.0,1.0
5845,26897.0,0.8922928207606796
5858,41562.0,0.8989942736153217
5877,110282.0,0.9741752960591937
5890,8330.0,0.8614645858343337
5903,22094.0,0.9147732416040554
5922,113122.0,0.9418150315588479
5933,6981.0,0.45724108293940696
5949,45579.0,0.9799907852300401
5962,62071.0,0.9550836944789032
5973,8655.0,0.8434430964760254
5993,391449.0,0.9994660862590018
6005,56229.0,0.5397570648597698
6020,74587.0,0.9163124941343666
6041,163677.0,1.0
6055,60005.0,1.0
6067,54761.0,0.9624185095232008
6079,9004.0,0.8529542425588628
6090,29778.0,1.0
6106,125214.0,0.9533678342677336
6126,666323.0,0.9772197567846225
6138,19181.0,0.3839737239977061
6157,199961.0,1.0
6176,25630.0,0.9899726882559501
6194,114171.0,0.9570468858116334
6213,190139.0,0.9921478497309862
6225,54926.0,0.7464588719367877
6245,710210.0,0.9856239703749595
6257,22389.0,0.8846755102952343
6277,158024.0,1.0
6298,241389.0,0.959948464925908
6309,7341.0,0.795531943876856
6321,2141.0,0.811303129378795
6340,442548.0,0.9281207914169762
6358,124575.0,0.6203170780654225
6377,232107.0,0.9559901252439608
6398,644919.0,0.9610989907259672
6413,265955.0,0.8973999360794119
6428,15153.0,0.9942585626608592
6448,662362.0,0.9722734697944628
6464,82887.0,0.7249267074450758
6482,120258.0,0.8644996590663407
6495,77318.0,0.8800020693758245
6513,262970.0,0.9895501387991026
6526,91278.0,1.0
6608,121749.0,0.627717681459396
6657,35054.0,0.7150967079363268
6675,474853.0,0.9107997632951671
6707,23678.0,0.748965284230087
6780,52330.0,0.929390407032295
6813,16398.0,0.45188437614343213
6832,163735.0,0.5599963355421871
6848,12504.0,0.855806142034549
6866,34388.0,0.5387926020704897
6895,248694.0,0.05023442463428953
6912,22449.0,0.7917501893180097
6933,342873.0,0.5945670846056703
