,Served Population (inhabitants),Percent Served
8,493740,0.225712087
222,386454,0.172000045
1096,677500,0.996323529
9564,257620.8,0.060202876
10716,37800,0.212359551
10867,28000,1
10935,148757,0.908400862
11137,492430,0.478551992
11306,35549,0.07999955
11345,53338.8,0.12
11355,229622.7,0.05
11369,18281.4,0.12
11408,49637.16,0.12
11421,14501.16,0.04
11434,57628.48,0.28
11473,41177.55,0.05
11512,17515.28,0.08
11537,14075.88,0.06
11663,28600,0.13490566
11952,61931,0.449104054
12001,28295.5,0.1
12018,549000,0.636914595
12029,352100,0.696630414
12048,66600,0.391764706
12063,116100,0.360615002
12455,122791,0.841899212
12479,32539,0.56062094
12494,244200,0.743152769
12506,173763,1
12523,153900,0.788826243
12540,227900,0.677870315
12556,416983,0.485937536
12573,198300,0.429220779
12590,22229,0.58477363
12597,111100,0.512373521
12614,167474,0.469137186
12630,121684,0.781623962
12642,65102,0.355943138
12664,122495,0.584620745
13007,2620.42,0.496887367
13015,33067,0.749436229
13179,83019.17,0.711453644
13190,35887.42,0.970308428
13201,44482.67,0.720269962
13212,84900,0.953932584
13223,116000,1
13234,300,0.003978041
13256,38400.75,0.275826182
13267,178371.92,0.470638311
13278,644791.17,0.728740493
13319,250,0.020833333
13332,75096.33,0.659816279
13354,2183,0.846124031
13375,14239.83,0.39238267
13385,2225,0.280553542
13405,5261,0.578831555
13415,1620,0.3375
13425,3413.92,0.15759279
13435,83000,0.619402985
13445,16100,0.842887807
13455,8360,0.340973978
13465,23832,0.247818898
13475,10720,0.275918872
13495,40000,0.502285399
13535,12994,0.41916129
13563,17800,0.793226381
13583,8791,0.545787546
13603,6300,0.831683168
13641,25000,0.625
13661,6750,0.504211096
13691,16000,0.937866354
13710,20104,0.223214087
13731,1036731.5,0.863942917
13745,280845,0.814952918
13757,122382,1
13769,63672,0.8
13783,22987,0.795067792
13791,22000,1
13805,23958.28,0.407391386
13819,10310,0.347617924
13827,8000,0.121085532
13833,17500,1
13855,8992,0.333037037
13869,9000,0.36
13913,320000,0.790123457
13933,86563,0.779994413
13942,8935,1
13964,120000,0.602436857
13976,8000,1
13985,7133.42,0.902964557
13993,2399,0.299875
14017,20500,1
14736,304419,0.978839228
14746,174500,0.749911901
14759,345168,0.965094561
14772,258033,0.787444611
14785,572944,1
14798,374300,0.985
14808,32000,0.753207014
14818,97011,1
14828,271952,0.900998562
14841,757200,0.99304918
14854,15010,0.994039735
14896,91000,0.989130435
14909,72754,1
14930,703973,0.912000259
14961,88100,0.942245989
14974,197252.3,0.95
14992,66562,0.958347131
15002,405504,0.99599885
15015,137052,0.911856287
15044,2044051,1
15057,106186,0.962998567
15067,31000,0.981012658
15080,124000,1
15093,82000,0.82950614
15111,22484.88,0.910061116
15133,115519,0.644781201
15154,14061,0.943691275
15170,219529,0.625029183
15186,392686,0.738520274
15202,556078,0.841256322
15218,330074,0.852706089
15234,60332,0.80917382
15250,165522,0.737817598
15266,230941,0.568932302
15282,465000,0.966735967
15298,1010555,0.847788153
15314,87726,0.712466499
15330,193562,0.563482868
15349,1366989,0.946379912
15365,76206,0.73267955
15381,20777,0.330528158
15397,418460,0.671232877
15413,271700,0.664303178
15429,644460,0.9193215
15445,399666,0.86967099
15461,324212,0.948016024
15477,983320,0.808006771
15493,471329,0.852189557
15509,503355,0.82360593
15525,49685,0.512533526
15541,475448,0.956655063
15557,244088,0.882171383
15573,686130,0.803572056
15589,918449,0.860833419
15608,276309,0.8496848
15624,352876,0.796182397
15640,70788,0.610926038
15656,449924,0.882169327
15672,86248,0.936663771
15688,85351,0.511117499
15704,295752,0.503082262
15720,11896348,0.976780627
15736,298205,0.97515075
15752,164500,0.688169344
15768,12672,0.516381418
15789,1239922,0.964072811
15805,121295,0.54669401
15821,1642981,1
15837,931720,0.790880076
15853,487090,0.846244723
15869,284980,0.891537619
15891,350049,0.667230238
15907,881103,0.845685684
15923,163571,0.903906941
15939,235923,0.851369492
15955,215880,0.953908559
15971,913821,0.815999036
15987,438024,0.819103897
16003,40283,0.831091397
16019,1048191,0.895193482
16035,288650,0.961269482
16051,544340,0.645365518
16067,292495,0.889285823
16083,4793658,0.917325368
16099,336010,0.781782224
16115,179029,0.735111275
16131,273098,0.79927301
16147,465529,0.817736127
16163,403300,0.826773268
16182,365490,0.877653443
16198,567421,0.787450387
16214,799813,0.71991665
16230,254144,0.447988718
16246,571471,0.907605373
16268,252934,0.822603096
16284,327236,0.922233182
16300,503093,0.829296959
16316,587500,0.578168363
16332,244311,0.781320157
16348,847807,0.821216025
16364,154329,0.507928515
16380,579803,0.955666722
16396,225770,0.851833685
16412,150292,0.776021067
16471,30340,0.402921647
16520,231039,0.791902026
16553,279786,0.707781432
17038,190496,0.71111642
17162,359140,0.982303547
17176,159245,0.88903094
17191,315590,0.927932961
17205,345000,0.961002786
17240,30426,0.588875126
17336,17406,1
17352,23844,0.845172267
17360,9918,1
17373,568247,1
17388,46000,0.962383363
17405,50000,1
17416,10879,0.855670914
17438,26973,0.401145152
17445,38741,1
17457,36628,0.951524913
17464,85000,0.739130435
17474,245414,0.420935817
17521,10900,1
17538,70200,0.638181818
17548,208000,0.952991845
17880,4800,0.289156627
17921,3700,0.296
17944,4800,0.533333333
17967,28850,0.593621399
17990,3200,0.551724138
18013,7700,0.463855422
18030,7500,0.376884422
18072,688400,0.864824121
18095,8900,0.388646288
18141,7500,0.286259542
18164,3500,0.397727273
18187,3650,0.37628866
18210,4390,0.420095694
18233,9620,0.469268293
18256,11100,0.376271186
18260,1415550,1
18538,4950,0.292899408
18561,1950,0.4875
18584,10320,0.306231454
18607,5880,0.50472103
18630,6300,0.219512195
18653,5000,0.460829493
18676,1600,0.296296296
18699,3100,0.215277778
18722,3200,0.340425532
18745,16200,0.480712166
18768,520,0.061904762
18791,8800,0.578947368
18814,3700,0.258741259
18837,3900,0.251612903
18860,3200,0.426666667
18883,19550,0.519946809
18918,4800,0.561403509
18941,7600,0.367149758
18964,4400,0.295302013
18987,1700,0.171717172
19010,20600,0.536458333
19033,3900,0.229411765
19203,10900,0.419230769
19212,12500,0.568181818
19221,8523,0.811714286
19250,1270971,0.962999809
19263,228200,0.626375858
19276,45161,0.530968561
21034,4500000,0.3
21251,29000,0.576082638
21262,3200,0.41025641
21270,112500,0.872093023
21276,12677,0.608242971
21282,121484,0.877679442
21288,10000,1
21608,3600,0.555555556
21677,563764.5,1
