,Total Population (inhabitants),Percent Served
8,2187477,0.225712087
222,2246825,0.172000045
1096,680000,0.996323529
9564,4279210.84,0.060202876
10716,178000,0.212359551
10867,28000,1
10935,163757,0.908400862
11137,1029000,0.478551992
11306,444365,0.07999955
11345,444490,0.12
11355,4592454,0.05
11369,152345,0.12
11408,413643,0.12
11421,362529,0.04
11434,205816,0.28
11473,823551,0.05
11512,218941,0.08
11537,234598,0.06
11663,212000,0.13490566
11952,137899,0.449104054
12001,282955,0.1
12018,861968,0.636914595
12029,505433,0.696630414
12048,170000,0.391764706
12063,321950,0.360615002
12455,145850,0.841899212
12479,58041,0.56062094
12494,328600,0.743152769
12506,173763,1
12523,195100,0.788826243
12540,336200,0.677870315
12556,858100,0.485937536
12573,462000,0.429220779
12590,38013,0.58477363
12597,216834,0.512373521
12614,356983,0.469137186
12630,155681,0.781623962
12642,182900,0.355943138
12664,209529,0.584620745
13007,5273.67,0.496887367
13015,44122.5,0.749436229
13179,116689.5,0.711453644
13190,36985.58,0.970308428
13201,61758.33,0.720269962
13212,89000,0.953932584
13223,116000,1
13234,75414,0.003978041
13256,139220.83,0.275826182
13267,379000,0.470638311
13278,884802.17,0.728740493
13319,12000,0.020833333
13332,113814,0.659816279
13354,2580,0.846124031
13375,36290.67,0.39238267
13385,7930.75,0.280553542
13405,9089,0.578831555
13415,4800,0.3375
13425,21662.92,0.15759279
13435,134000,0.619402985
13445,19101,0.842887807
13455,24518,0.340973978
13465,96167,0.247818898
13475,38852,0.275918872
13495,79636,0.502285399
13535,31000,0.41916129
13563,22440,0.793226381
13583,16107,0.545787546
13603,7575,0.831683168
13641,40000,0.625
13661,13387.25,0.504211096
13691,17060,0.937866354
13710,90066,0.223214087
13731,1200000,0.863942917
13745,344615,0.814952918
13757,122382,1
13769,79590,0.8
13783,28912,0.795067792
13791,22000,1
13805,58809,0.407391386
13819,29659,0.347617924
13827,66069,0.121085532
13833,17500,1
13855,27000,0.333037037
13869,25000,0.36
13913,405000,0.790123457
13933,110979,0.779994413
13942,8935,1
13964,199191,0.602436857
13976,8000,1
13985,7900,0.902964557
13993,8000,0.299875
14017,20500,1
14736,311000,0.978839228
14746,232694,0.749911901
14759,357652,0.965094561
14772,327684,0.787444611
14785,572944,1
14798,380000,0.985
14808,42485,0.753207014
14818,97011,1
14828,301834,0.900998562
14841,762500,0.99304918
14854,15100,0.994039735
14896,92000,0.989130435
14909,72754,1
14930,771900,0.912000259
14961,93500,0.942245989
14974,207634,0.95
14992,69455,0.958347131
15002,407133,0.99599885
15015,150300,0.911856287
15044,2044051,1
15057,110266,0.962998567
15067,31600,0.981012658
15080,124000,1
15093,98854,0.82950614
15111,24707,0.910061116
15133,179160,0.644781201
15154,14900,0.943691275
15170,351230,0.625029183
15186,531720,0.738520274
15202,661009,0.841256322
15218,387090,0.852706089
15234,74560,0.80917382
15250,224340,0.737817598
15266,405920,0.568932302
15282,481000,0.966735967
15298,1191990,0.847788153
15314,123130,0.712466499
15330,343510,0.563482868
15349,1444440,0.946379912
15365,104010,0.73267955
15381,62860,0.330528158
15397,623420,0.671232877
15413,409000,0.664303178
15429,701017,0.9193215
15445,459560,0.86967099
15461,341990,0.948016024
15477,1216970,0.808006771
15493,553080,0.852189557
15509,611160,0.82360593
15525,96940,0.512533526
15541,496990,0.956655063
15557,276690,0.882171383
15573,853850,0.803572056
15589,1066930,0.860833419
15608,325190,0.8496848
15624,443210,0.796182397
15640,115870,0.610926038
15656,510020,0.882169327
15672,92080,0.936663771
15688,166989,0.511117499
15704,587880,0.503082262
15720,12179140,0.976780627
15736,305804,0.97515075
15752,239040,0.688169344
15768,24540,0.516381418
15789,1286129,0.964072811
15805,221870,0.54669401
15821,1642981,1
15837,1178080,0.790880076
15853,575590,0.846244723
15869,319650,0.891537619
15891,524630,0.667230238
15907,1041880,0.845685684
15923,180960,0.903906941
15939,277110,0.851369492
15955,226311,0.953908559
15971,1119880,0.815999036
15987,534760,0.819103897
16003,48470,0.831091397
16019,1170910,0.895193482
16035,300280,0.961269482
16051,843460,0.645365518
16067,328910,0.889285823
16083,5225690,0.917325368
16099,429800,0.781782224
16115,243540,0.735111275
16131,341683,0.79927301
16147,569290,0.817736127
16163,487800,0.826773268
16182,416440,0.877653443
16198,720580,0.787450387
16214,1110980,0.71991665
16230,567300,0.447988718
16246,629647,0.907605373
16268,307480,0.822603096
16284,354830,0.922233182
16300,606650,0.829296959
16316,1016140,0.578168363
16332,312690,0.781320157
16348,1032380,0.821216025
16364,303840,0.507928515
16380,606700,0.955666722
16396,265040,0.851833685
16412,193670,0.776021067
16471,75300,0.402921647
16520,291752,0.791902026
16553,395300,0.707781432
17038,267883,0.71111642
17162,365610,0.982303547
17176,179122,0.88903094
17191,340100,0.927932961
17205,359000,0.961002786
17240,51668,0.588875126
17336,17406,1
17352,28212,0.845172267
17360,9918,1
17373,568247,1
17388,47798,0.962383363
17405,50000,1
17416,12714,0.855670914
17438,67240,0.401145152
17445,38741,1
17457,38494,0.951524913
17464,115000,0.739130435
17474,583020,0.420935817
17521,10900,1
17538,110000,0.638181818
17548,218260,0.952991845
17880,16600,0.289156627
17921,12500,0.296
17944,9000,0.533333333
17967,48600,0.593621399
17990,5800,0.551724138
18013,16600,0.463855422
18030,19900,0.376884422
18072,796000,0.864824121
18095,22900,0.388646288
18141,26200,0.286259542
18164,8800,0.397727273
18187,9700,0.37628866
18210,10450,0.420095694
18233,20500,0.469268293
18256,29500,0.376271186
18260,1415550,1
18538,16900,0.292899408
18561,4000,0.4875
18584,33700,0.306231454
18607,11650,0.50472103
18630,28700,0.219512195
18653,10850,0.460829493
18676,5400,0.296296296
18699,14400,0.215277778
18722,9400,0.340425532
18745,33700,0.480712166
18768,8400,0.061904762
18791,15200,0.578947368
18814,14300,0.258741259
18837,15500,0.251612903
18860,7500,0.426666667
18883,37600,0.519946809
18918,8550,0.561403509
18941,20700,0.367149758
18964,14900,0.295302013
18987,9900,0.171717172
19010,38400,0.536458333
19033,17000,0.229411765
19203,26000,0.419230769
19212,22000,0.568181818
19221,10500,0.811714286
19250,1319804,0.962999809
19263,364318,0.626375858
19276,85054,0.530968561
21034,15000000,0.3
21251,50340,0.576082638
21262,7800,0.41025641
21270,129000,0.872093023
21276,20842,0.608242971
21282,138415,0.877679442
21288,10000,1
21608,6480,0.555555556
21677,563764.5,1
23397,635759,0.927579476
