,Served Population (inhabitants),Percent Served
8,1974014,0.902415888
35,488316,1
61,3866343.3,0.997994921
77,2643454.4,1
90,643800,0.995515695
119,3426077,1
155,3657894.4,1
173,279613.9,0.997926087
186,135910.5,0.946346507
204,227022,0.820047681
222,1862781,0.82907258
240,475152,0.971363153
258,721910,0.957717218
627,2059940,0.804664063
1096,649000,1
3100,2253490,0.851959516
9459,340524,0.667952131
9564,4025325,0.7336943
10570,202320,0.954339623
10581,61800,0.895262929
10598,200680,0.828157692
10615,39108,0.746335878
10632,80455,0.786730553
10665,365000,0.811111111
10682,69000,0.696969697
10699,152796.18,0.968302387
10716,200500,0.910081249
10733,175571,0.919282464
10750,51771,0.912714643
10766,168944,0.240405837
10783,269196,0.297779562
10816,85312,0.752974404
10833,139624,0.502378331
10850,354936,0.287677095
10867,3280000,1
10901,54188,0.279925612
10918,724104,0.778606452
10952,1064456,0.965013309
10969,253050,0.944216418
10986,506700,0.99003517
11003,191641,0.561707154
11020,115234,0.876344168
11037,558891,0.773911466
11054,362960.14,0.875001938
11087,145030,0.765006857
11104,183461,0.906710093
11137,915697,0.890030306
11154,204565.2,0.552878919
11171,86196,0.412095714
11188,382854,0.78342003
11306,364379,0.819999325
11319,90055,0.880001954
11332,108306,0.777468307
11345,361814,0.813998065
11355,2847321,0.619999895
11369,145369,0.954209196
11382,162046,0.6948263
11395,51246,0.629998894
11408,401647,0.970999147
11421,326276.1,0.9
11434,205816,1
11447,103004,0.899999126
11460,114835,0.759998412
11473,749431,0.909999502
11486,103236,0.610001241
11499,104647,0.649997515
11512,154791,0.706998689
11524,84577,0.620002346
11537,187678,0.799998295
11556,223380,0.895759398
11573,437929,0.942999569
11590,217700,0.760125698
11607,249800,0.76400783
11646,344000,0.926973861
11663,253900,0.725737528
11680,714504,0.958201204
11697,1258985.7,0.7
11730,873720,0.923515982
11744,156456,0.838888174
11761,8247829,0.964266566
11778,112445,0.499755556
11851,442085,0.313722359
11884,264491.5,0.462394655
11901,187440,0.881199756
11918,218600,0.848602484
11935,195000,0.746805968
11952,308201,0.837427622
11969,118872,0.766916129
12001,277296,0.980000353
12018,595000,0.690280846
12029,394600,0.780716732
12048,98600,0.58
12063,192100,0.566242402
12455,129254,0.886211862
12479,42440,0.73120725
12494,268900,0.818320146
12506,243198,1
12523,189500,0.971296771
12540,264187,0.754388921
12556,721700,0.841044167
12573,282000,0.589958159
12590,33045,0.869307868
12597,246103,1
