,Total Population (inhabitants),Percent Served
8,2187477,0.902415888
35,488316,1
61,3874111.2,0.997994921
77,2643454.4,1
90,646700,0.995515695
119,3426077,1
155,3657894.4,1
173,280195,0.997926087
186,143616,0.946346507
204,276840,0.820047681
222,2246825,0.82907258
240,489160,0.971363153
258,753782,0.957717218
627,2560000,0.804664063
1096,649000,1
3100,2645067,0.851959516
9459,509803,0.667952131
9564,5486379,0.7336943
10570,212000,0.954339623
10581,69030,0.895262929
10598,242321,0.828157692
10615,52400,0.746335878
10632,102265,0.786730553
10665,450000,0.811111111
10682,99000,0.696969697
10699,157798,0.968302387
10716,220310,0.910081249
10733,190987,0.919282464
10750,56722,0.912714643
10766,702745,0.240405837
10783,904011,0.297779562
10816,113300,0.752974404
10833,277926,0.502378331
10850,1233800,0.287677095
10867,3280000,1
10901,193580,0.279925612
10918,930000,0.778606452
10952,1103048,0.965013309
10969,268000,0.944216418
10986,511800,0.99003517
11003,341176,0.561707154
11020,131494,0.876344168
11037,722164,0.773911466
11054,414810.67,0.875001938
11087,189580,0.765006857
11104,202337,0.906710093
11137,1028838,0.890030306
11154,370000,0.552878919
11171,209165,0.412095714
11188,488695.7,0.78342003
11306,444365,0.819999325
11319,102335,0.880001954
11332,139306,0.777468307
11345,444490,0.813998065
11355,4592454,0.619999895
11369,152345,0.954209196
11382,233218,0.6948263
11395,81343,0.629998894
11408,413643,0.970999147
11421,362529,0.9
11434,205816,1
11447,114449,0.899999126
11460,151099,0.759998412
11473,823551,0.909999502
11486,169239,0.610001241
11499,160996,0.649997515
11512,218941,0.706998689
11524,136414,0.620002346
11537,234598,0.799998295
11556,249375,0.895759398
11573,464400,0.942999569
11590,286400,0.760125698
11607,326960,0.76400783
11646,371100,0.926973861
11663,349851,0.725737528
11680,745672.2,0.958201204
11697,1798551,0.7
11730,946080,0.923515982
11744,186504,0.838888174
11761,8553474,0.964266566
11778,225000,0.499755556
11851,1409160,0.313722359
11884,572003.8,0.462394655
11901,212710,0.881199756
11918,257600,0.848602484
11935,261112,0.746805968
11952,368033,0.837427622
11969,155000,0.766916129
12001,282955,0.980000353
12018,861968,0.690280846
12029,505433,0.780716732
12048,170000,0.58
12063,339254,0.566242402
12455,145850,0.886211862
12479,58041,0.73120725
12494,328600,0.818320146
12506,243198,1
12523,195100,0.971296771
12540,350200,0.754388921
12556,858100,0.841044167
12573,478000,0.589958159
12590,38013,0.869307868
12597,246103,1
12614,356983,0.758150948
12630,155681,0.873401378
12642,182900,0.999983598
12664,209529,0.884254686
12953,277000,0.601148556
12968,177943,0.534755512
12978,323700,0.577556379
12994,447346,0.48013171
13007,5273.67,0.519073055
13015,44122.5,1
13147,12573,0.451602641
13158,9313.58,0.744146719
13179,116689.5,0.905861281
13190,36985.58,0.970308428
13201,61758.33,0.983963135
13212,89000,1
13223,116000,1
13234,75414,0.285517278
13245,13275,0.706842185
13256,139220.83,0.982488253
13267,379000,0.81683686
13278,884802.17,0.954792154
13282,39138,0.796991926
13299,18539,0.485894601
13308,2130,0.900469484
13319,12000,0.195833333
13332,113814,0.738101903
13343,104772,0.569768927
13354,2580,0.890310078
13365,56250,0.466133333
13375,36290.67,0.79158996
13385,7930.75,0.300728178
13395,12700,0.879783465
13405,9089,0.668280339
13415,4800,0.3925
13425,21662.92,0.651112592
13435,134000,0.917910448
13445,19101,0.962357992
13455,24518,0.392201648
13465,96167,0.604448511
13475,38852,0.757438485
13485,1572.5,0.916801272
13495,79636,0.663958511
13505,4104,0.726608187
13515,7000,1
13525,16531.67,0.915314061
13535,31000,1
13545,21479.75,1
13563,22440,1
13573,15895,0.762388802
13583,16107,0.545787546
13593,9900,1
13603,7575,0.831683168
13613,13489,0.639224553
13623,5904.58,0.887234994
13641,40000,1
13651,69292.33,0.409472881
13661,13387.25,0.852042055
13671,14033.92,1
13681,14425,0.707590988
13691,17060,1
13701,60000,0.3859
13710,90066,0.452645837
13731,1200000,0.957623333
13745,639101,0.809998733
13757,154915,1
13769,89428,1
13783,46124,0.886458243
13791,67000,0.614626866
13819,25545,0.804697592
13827,66069,0.908141488
13833,39148,0.536425871
13855,27000,0.883481481
13869,25000,0.6328
13883,13072,0.952417381
13913,405000,1
13927,22867,0.367429046
13933,110979,0.937114229
13942,45000,0.951111111
13964,199191,0.933777128
13976,17000,1
13985,15300,0.746928105
13993,15000,0.753333333
14017,32500,1
14736,311000,0.990427653
14746,265890,0.656286434
14759,357652,0.998190979
14772,327684,0.787444611
14785,572944,1
14798,380000,0.996921053
14808,42485,0.753207014
14818,97011,1
14828,301834,0.900998562
14841,762500,0.99304918
14854,17350,0.865129683
14883,354738,0.905541555
14896,100000,0.9
14909,72754,1
14930,771900,0.98
14961,93500,0.942245989
14974,207634,0.95
14992,69455,0.995623065
15002,407133,0.999000327
15015,150300,0.966067864
15044,2006971,1
15057,108002,0.983185497
15067,44555,0.695769274
15080,124000,1
15093,32000,0.93571875
15111,24707,0.99
15133,179160,1
15154,14900,1
15170,351230,1
15186,531720,1
15202,661009,1
15218,387090,1
15234,74560,1
15250,224340,1
15266,405920,1
15282,481000,1
15298,1191990,1
15314,123130,1
15330,343510,1
15349,1444440,1
15365,104010,1
15381,62860,1
15397,623420,1
15413,409000,0.758679707
15429,701017,1
15445,459560,1
15461,341990,1
15477,1216970,1
15493,553080,1
15509,611160,1
15525,96940,1
15541,496990,1
15557,276690,1
15573,853850,1
15589,1066930,1
15608,325190,1
15624,443210,1
15640,115870,1
15656,510020,1
15672,92080,1
15688,166989,1
15704,587880,1
15720,12179140,1
15736,305804,1
15752,239040,1
15768,24540,1
15789,1286129,1
15805,221870,1
15821,1642981,1
15837,1178080,1
15853,575590,0.960162616
15869,319650,1
15891,524630,1
15907,1041880,1
15923,180960,1
15939,277110,1
15955,226311,1
15971,1119880,1
15987,534760,1
16003,48470,1
16019,1170910,1
16035,300280,1
16051,843460,1
16067,328910,1
16083,5225690,1
16099,429800,1
16115,243540,1
16131,341683,1
16147,569290,1
16163,487800,0.840303403
16182,416440,1
16198,720580,1
16214,1110980,1
16230,567300,1
16246,629647,1
16268,307480,1
16284,354830,1
16300,606650,1
16316,1016140,1
16332,312690,1
16348,1032380,1
16364,303840,1
16380,606700,1
16396,265040,1
16412,193670,1
16471,75300,0.825033201
16520,297865,0.913410438
16553,395300,1
17038,293030,0.773361089
17176,179122,0.989627181
17191,340100,0.976359894
17205,359000,0.963788301
17240,51668,0.777928312
17336,17406,1
17343,55749,0.950689698
17352,28212,0.911172551
17360,16825,0.742942051
17373,621152,1
17388,47798,0.945646261
17405,50000,1
17416,12714,1
17425,107496,0.847994344
17438,67240,0.8
17445,38741,0.988616711
17457,38494,0.96505949
17464,115000,0.826086957
17474,583020,1
17497,4859103,0.886884472
17521,27900,0.713261649
17538,110000,0.809090909
17548,218263,0.999986255
17880,16600,0.668674699
17921,12500,0.56
17944,9000,0.688888889
17967,48600,0.903292181
17990,5800,0.672413793
18013,16600,0.753012048
18030,19900,0.728643216
18072,796000,0.900125628
18095,22900,0.84279476
18141,26200,0.763358779
18164,8800,0.681818182
18187,9700,0.690721649
18210,10450,0.43062201
18233,20500,0.653658537
18256,29500,0.681355932
18260,1415550,0.944177175
18538,16900,0.621301775
18561,4000,0.975
18584,33700,0.694362018
18607,11650,0.738197425
18630,28700,0.426480836
18653,10850,0.965898618
18676,5400,0.425925926
18699,14400,0.263888889
18722,9400,0.478723404
18745,33700,0.848664688
18768,8400,0.428571429
18791,15200,0.671052632
18814,14300,0.426573427
18837,15500,0.761290323
18860,7500,0.506666667
18883,37600,0.904255319
18918,8550,0.795321637
18941,20700,0.70531401
18964,14900,0.771812081
18987,9900,0.316161616
19010,38400,0.8359375
19033,17000,0.523529412
19090,766449,0.668429341
19115,331308,0.737501056
19128,630530,0.958381045
19141,255979,0.854128659
19154,396335,0.902996203
19167,204185,0.502054509
19178,419082,0.724862915
19203,26212,0.721043797
19212,29900,0.779264214
19221,19800,0.803030303
19231,22600,1
19250,1319804,1
19263,364318,0.996881845
19276,85054,1
20341,11840,0.444256757
20980,150000,0.54
20991,195000,0.923076923
21001,255000,0.588235294
21012,134740,0.506234229
21023,2941000,0.478449507
21034,15000000,1
21045,2500000,0.063152
21056,210000,0.880952381
21067,182000,0.214285714
21077,242000,0.290206612
21088,913900,0.778258015
21096,600000,0.633333333
21103,162000,0.49382716
21111,114000,0.622807018
21122,70000,0.628571429
21129,61890,0.579253514
21137,105000,0.208857143
21145,76000,0.473026316
21153,72000,0.441111111
21161,60000,0.361666667
21169,195000,0.820512821
21251,50340,1
21262,7800,1
21276,27777,0.859596069
21282,142546,0.982574046
21288,40000,1
21602,15923,0.876907618
21608,6480,0.864197531
21677,1345500,0.765954292
23397,635759,0.943280394
23673,206400,0.300232558
24041,80760,0.082961862
24048,124500,0.547791165
24058,158620,0.479132518
24066,73000,0.5
24070,113000,0.381946903
24077,60930,0.626292467
